;Version;Date_of_report;Date_of_statistics;IC_admission_notification;IC_admission
374;1;2022-02-03 00:30:00;2021-03-07;24;33
375;1;2022-02-03 00:30:00;2021-03-08;37;42
376;1;2022-02-03 00:30:00;2021-03-09;52;36
377;1;2022-02-03 00:30:00;2021-03-10;38;43
378;1;2022-02-03 00:30:00;2021-03-11;47;42
379;1;2022-02-03 00:30:00;2021-03-12;31;31
380;1;2022-02-03 00:30:00;2021-03-13;27;34
381;1;2022-02-03 00:30:00;2021-03-14;33;41
382;1;2022-02-03 00:30:00;2021-03-15;49;45
383;1;2022-02-03 00:30:00;2021-03-16;46;45
384;1;2022-02-03 00:30:00;2021-03-17;41;38
385;1;2022-02-03 00:30:00;2021-03-18;42;54
386;1;2022-02-03 00:30:00;2021-03-19;55;48
387;1;2022-02-03 00:30:00;2021-03-20;26;36
388;1;2022-02-03 00:30:00;2021-03-21;49;54
389;1;2022-02-03 00:30:00;2021-03-22;58;40
390;1;2022-02-03 00:30:00;2021-03-23;53;42
391;1;2022-02-03 00:30:00;2021-03-24;37;38
392;1;2022-02-03 00:30:00;2021-03-25;41;57
393;1;2022-02-03 00:30:00;2021-03-26;58;61
394;1;2022-02-03 00:30:00;2021-03-27;33;39
395;1;2022-02-03 00:30:00;2021-03-28;33;36
396;1;2022-02-03 00:30:00;2021-03-29;68;49
397;1;2022-02-03 00:30:00;2021-03-30;45;50
398;1;2022-02-03 00:30:00;2021-03-31;60;60
399;1;2022-02-03 00:30:00;2021-04-01;45;46
400;1;2022-02-03 00:30:00;2021-04-02;75;69
401;1;2022-02-03 00:30:00;2021-04-03;41;47
402;1;2022-02-03 00:30:00;2021-04-04;54;55
403;1;2022-02-03 00:30:00;2021-04-05;49;53
404;1;2022-02-03 00:30:00;2021-04-06;65;55
405;1;2022-02-03 00:30:00;2021-04-07;49;63
406;1;2022-02-03 00:30:00;2021-04-08;61;47
407;1;2022-02-03 00:30:00;2021-04-09;48;55
408;1;2022-02-03 00:30:00;2021-04-10;44;51
409;1;2022-02-03 00:30:00;2021-04-11;51;58
410;1;2022-02-03 00:30:00;2021-04-12;69;49
411;1;2022-02-03 00:30:00;2021-04-13;47;44
412;1;2022-02-03 00:30:00;2021-04-14;50;55
413;1;2022-02-03 00:30:00;2021-04-15;47;63
414;1;2022-02-03 00:30:00;2021-04-16;60;53
415;1;2022-02-03 00:30:00;2021-04-17;53;53
416;1;2022-02-03 00:30:00;2021-04-18;51;54
417;1;2022-02-03 00:30:00;2021-04-19;62;65
418;1;2022-02-03 00:30:00;2021-04-20;63;51
419;1;2022-02-03 00:30:00;2021-04-21;47;51
420;1;2022-02-03 00:30:00;2021-04-22;57;44
421;1;2022-02-03 00:30:00;2021-04-23;53;65
422;1;2022-02-03 00:30:00;2021-04-24;41;51
423;1;2022-02-03 00:30:00;2021-04-25;49;43
424;1;2022-02-03 00:30:00;2021-04-26;63;60
425;1;2022-02-03 00:30:00;2021-04-27;46;52
426;1;2022-02-03 00:30:00;2021-04-28;67;49
427;1;2022-02-03 00:30:00;2021-04-29;56;66
428;1;2022-02-03 00:30:00;2021-04-30;60;51
429;1;2022-02-03 00:30:00;2021-05-01;28;38
430;1;2022-02-03 00:30:00;2021-05-02;68;67
431;1;2022-02-03 00:30:00;2021-05-03;49;52
432;1;2022-02-03 00:30:00;2021-05-04;71;51
433;1;2022-02-03 00:30:00;2021-05-05;36;43
434;1;2022-02-03 00:30:00;2021-05-06;49;45
435;1;2022-02-03 00:30:00;2021-05-07;43;46
436;1;2022-02-03 00:30:00;2021-05-08;31;38
437;1;2022-02-03 00:30:00;2021-05-09;36;36
438;1;2022-02-03 00:30:00;2021-05-10;48;36
439;1;2022-02-03 00:30:00;2021-05-11;46;41
440;1;2022-02-03 00:30:00;2021-05-12;30;38
441;1;2022-02-03 00:30:00;2021-05-13;28;27
442;1;2022-02-03 00:30:00;2021-05-14;44;33
443;1;2022-02-03 00:30:00;2021-05-15;20;34
444;1;2022-02-03 00:30:00;2021-05-16;28;25
445;1;2022-02-03 00:30:00;2021-05-17;40;37
446;1;2022-02-03 00:30:00;2021-05-18;31;34
447;1;2022-02-03 00:30:00;2021-05-19;29;24
448;1;2022-02-03 00:30:00;2021-05-20;28;23
449;1;2022-02-03 00:30:00;2021-05-21;23;23
450;1;2022-02-03 00:30:00;2021-05-22;19;25
451;1;2022-02-03 00:30:00;2021-05-23;20;21
452;1;2022-02-03 00:30:00;2021-05-24;28;30
453;1;2022-02-03 00:30:00;2021-05-25;29;17
454;1;2022-02-03 00:30:00;2021-05-26;18;13
455;1;2022-02-03 00:30:00;2021-05-27;22;18
456;1;2022-02-03 00:30:00;2021-05-28;12;16
457;1;2022-02-03 00:30:00;2021-05-29;8;10
458;1;2022-02-03 00:30:00;2021-05-30;10;12
459;1;2022-02-03 00:30:00;2021-05-31;13;9
460;1;2022-02-03 00:30:00;2021-06-01;11;7
461;1;2022-02-03 00:30:00;2021-06-02;10;13
462;1;2022-02-03 00:30:00;2021-06-03;7;6
463;1;2022-02-03 00:30:00;2021-06-04;6;5
464;1;2022-02-03 00:30:00;2021-06-05;5;7
465;1;2022-02-03 00:30:00;2021-06-06;5;5
466;1;2022-02-03 00:30:00;2021-06-07;10;5
467;1;2022-02-03 00:30:00;2021-06-08;6;8
468;1;2022-02-03 00:30:00;2021-06-09;9;9
469;1;2022-02-03 00:30:00;2021-06-10;7;4
470;1;2022-02-03 00:30:00;2021-06-11;4;6
471;1;2022-02-03 00:30:00;2021-06-12;3;7
472;1;2022-02-03 00:30:00;2021-06-13;5;2
473;1;2022-02-03 00:30:00;2021-06-14;11;7
474;1;2022-02-03 00:30:00;2021-06-15;5;4
475;1;2022-02-03 00:30:00;2021-06-16;6;6
476;1;2022-02-03 00:30:00;2021-06-17;4;5
477;1;2022-02-03 00:30:00;2021-06-18;3;3
478;1;2022-02-03 00:30:00;2021-06-19;3;5
479;1;2022-02-03 00:30:00;2021-06-20;3;3
480;1;2022-02-03 00:30:00;2021-06-21;10;5
481;1;2022-02-03 00:30:00;2021-06-22;1;4
482;1;2022-02-03 00:30:00;2021-06-23;6;2
483;1;2022-02-03 00:30:00;2021-06-24;1;1
484;1;2022-02-03 00:30:00;2021-06-25;3;3
485;1;2022-02-03 00:30:00;2021-06-26;0;0
486;1;2022-02-03 00:30:00;2021-06-27;0;3
487;1;2022-02-03 00:30:00;2021-06-28;5;2
488;1;2022-02-03 00:30:00;2021-06-29;0;0
489;1;2022-02-03 00:30:00;2021-06-30;1;1
490;1;2022-02-03 00:30:00;2021-07-01;0;0
